ASN/DN #,Country,Vendor,Shipment Mode,Fulfill Via,Managed By,Product Group,Vendor INCO Term,Manufacturing Site,S1_quote_to_po,S2_po_to_plan,S3_plan_to_actual,S4_actual_to_recorded,E2E_quote_to_recorded,PQ First Sent to Client Date_dt,PO Sent to Vendor Date_dt,Scheduled Delivery Date_dt,Delivered to Client Date_dt,Delivery Recorded Date_dt,po_absent_structural,pq_pre_process,Line Item Value,Line Item Quantity,freight_usd,weight_kg,n_lines,freight_stated,weight_stated,year,late,early_over_14,abs_dev,channel
ASN-10006,Haiti,BRISTOL-MYERS SQUIBB,Air,Direct Drop,PMO - US,ARV,FCA,"BMS Meymac, France",43.0,49.0,0.0,0.0,92.0,2011-01-03,2011-02-15,2011-04-05,2011-04-05,2011-04-05,False,False,1900.0,200,757.42,94.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10007,Haiti,BRISTOL-MYERS SQUIBB,Air,Direct Drop,PMO - US,ARV,FCA,"BMS Meymac, France",19.0,49.0,0.0,0.0,68.0,2011-01-27,2011-02-15,2011-04-05,2011-04-05,2011-04-05,False,False,3970.0,460,,,2,False,False,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10011,South Africa,ASPEN PHARMACARE,Air,Direct Drop,PMO - US,ARV,DDP,GSK Mississauga (Canada),80.0,82.0,36.0,0.0,198.0,2010-08-31,2010-11-19,2011-02-09,2011-03-17,2011-03-17,False,False,120240.0,12000,12474.06,,1,True,False,2011,1,0,36.0,Direct Drop (order-driven)
ASN-10012,South Africa,ASPEN PHARMACARE,Air,Direct Drop,PMO - US,ARV,DDP,GSK Mississauga (Canada),21.0,167.0,0.0,0.0,188.0,2010-08-31,2010-09-21,2011-03-07,2011-03-07,2011-03-07,False,False,400800.0,40000,11770.87,,1,True,False,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10062,Haiti,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,FCA,Inverness Japan,19.0,63.0,0.0,0.0,82.0,2011-01-14,2011-02-02,2011-04-06,2011-04-06,2011-04-06,False,False,195360.0,2000,7030.94,453.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10063,Haiti,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,50.0,63.0,0.0,0.0,113.0,2010-12-14,2011-02-02,2011-04-06,2011-04-06,2011-04-06,False,False,3223.44,33,1011.6,8.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10064,Guyana,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,28.0,69.0,0.0,0.0,97.0,2011-01-05,2011-02-02,2011-04-12,2011-04-12,2011-04-12,False,False,41800.0,418,6455.37,205.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10065,Namibia,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,20.0,48.0,0.0,0.0,68.0,2011-01-13,2011-02-02,2011-03-22,2011-03-22,2011-03-22,False,False,11655.0,150,947.35,34.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10066,Tanzania,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,37.0,71.0,0.0,0.0,108.0,2010-12-27,2011-02-02,2011-04-14,2011-04-14,2011-04-14,False,False,2400.0,30,1489.33,14.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10070,Rwanda,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Ocean,Direct Drop,PMO - US,ARV,EXW,Mylan (formerly Matrix) Nashik,26.0,210.0,0.0,0.0,236.0,2010-09-03,2010-09-29,2011-04-27,2011-04-27,2011-04-27,False,False,997551.5,117359,32530.22,10329.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10108,Guatemala,ABBOTT LOGISTICS B.V.,Air,Direct Drop,PMO - US,ARV,CIP,ABBVIE Ludwigshafen Germany,30.0,34.0,0.0,0.0,64.0,2011-01-03,2011-02-02,2011-03-08,2011-03-08,2011-03-08,False,False,203371.58,2426,,,1,False,False,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10109,South Africa,CIPLA LIMITED,Ocean,Direct Drop,PMO - US,ARV,DDP,"Cipla, Goa, India",21.0,196.0,30.0,0.0,247.0,2010-08-31,2010-09-21,2011-04-05,2011-05-05,2011-05-05,False,False,135164.34,48446,,,1,False,False,2011,1,0,30.0,Direct Drop (order-driven)
ASN-10110,South Africa,CIPLA LIMITED,Ocean,Direct Drop,PMO - US,ARV,DDP,"Cipla, Goa, India",18.0,142.0,0.0,0.0,160.0,2010-11-26,2010-12-14,2011-05-05,2011-05-05,2011-05-05,False,False,1029000.0,150000,19569.93,10151.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10111,South Africa,CIPLA LIMITED,Ocean,Direct Drop,PMO - US,ARV,DDP,"Cipla, Goa, India",18.0,115.0,27.0,0.0,160.0,2010-11-26,2010-12-14,2011-04-08,2011-05-05,2011-05-05,False,False,84693.56,12346,9177.19,820.0,1,True,True,2011,1,0,27.0,Direct Drop (order-driven)
ASN-10120,Côte d'Ivoire,"Orgenics, Ltd",Air,Direct Drop,PMO - US,HRDT,EXW,Inverness Japan,33.0,96.0,0.0,0.0,129.0,2010-11-19,2010-12-22,2011-03-28,2011-03-28,2011-03-28,False,False,255866.1,3293,14934.26,747.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10127,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,214.0,0.0,0.0,238.0,2010-08-31,2010-09-24,2011-04-26,2011-04-26,2011-04-26,False,False,345647.31,116423,,,2,False,False,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10129,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",18.0,111.0,0.0,0.0,129.0,2010-11-26,2010-12-14,2011-04-04,2011-04-04,2011-04-04,False,False,8418.52,3971,3524.95,1472.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10140,Rwanda,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",24.0,193.0,0.0,0.0,217.0,2010-09-03,2010-09-27,2011-04-08,2011-04-08,2011-04-08,False,False,4183.2,1992,6400.44,777.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10144,Haiti,BRISTOL-MYERS SQUIBB,Air,Direct Drop,PMO - US,ARV,CIP,Bristol-Myers Squibb Anagni IT,8.0,148.0,0.0,0.0,156.0,2010-10-25,2010-11-02,2011-03-30,2011-03-30,2011-03-30,False,False,4401.6,240,450.0,12.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-1016,Vietnam,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",,155.0,0.0,0.0,,,2007-07-04,2007-12-06,2007-12-06,2007-12-06,False,True,10075.0,1300,3850.43,270.0,1,True,True,2007,0,0,0.0,Direct Drop (order-driven)
ASN-10166,Tanzania,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",60.0,60.0,0.0,0.0,120.0,2010-12-27,2011-02-25,2011-04-26,2011-04-26,2011-04-26,False,False,20000.0,625,2918.12,200.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-1017,Vietnam,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",,169.0,0.0,0.0,,,2007-07-03,2007-12-19,2007-12-19,2007-12-19,False,True,9300.0,1200,3719.91,249.0,1,True,True,2007,0,0,0.0,Direct Drop (order-driven)
ASN-10179,Côte d'Ivoire,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,Direct Drop,PMO - US,ARV,FCA,ABBVIE Ludwigshafen Germany,18.0,522.0,0.0,0.0,540.0,2009-11-05,2009-11-23,2011-04-29,2011-04-29,2011-04-29,False,False,23632.5,3450,4588.02,440.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10212,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,214.0,30.0,0.0,268.0,2010-08-31,2010-09-24,2011-04-26,2011-05-26,2011-05-26,False,False,567368.91,125247,,,1,False,False,2011,1,0,30.0,Direct Drop (order-driven)
ASN-10226,Dominican Republic,Aurobindo Pharma Limited,Air,Direct Drop,PMO - US,ARV,EXW,"Aurobindo Unit III, India",21.0,124.0,0.0,0.0,145.0,2010-11-10,2010-12-01,2011-04-04,2011-04-04,2011-04-04,False,False,87780.0,2508,5002.73,645.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10239,Ethiopia,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",15.0,135.0,0.0,0.0,150.0,2010-11-09,2010-11-24,2011-04-08,2011-04-08,2011-04-08,False,False,10752.0,336,1921.14,,1,True,False,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10241,Sudan,"Trinity Biotech, Plc",Air,Direct Drop,PMO - US,HRDT,EXW,"Trinity Biotech, Plc",20.0,57.0,0.0,0.0,77.0,2011-02-05,2011-02-25,2011-04-23,2011-04-23,2011-04-23,False,False,4224.0,132,1595.38,50.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10249,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,221.0,0.0,0.0,245.0,2010-08-31,2010-09-24,2011-05-03,2011-05-03,2011-05-03,False,False,225977.14,22643,4573.21,3000.0,1,True,True,2011,0,0,0.0,Direct Drop (order-driven)
ASN-10250,South Africa,Aurobindo Pharma Limited,Ocean,Direct Drop,PMO - US,ARV,DDP,"Aurobindo Unit III, India",24.0,130.0,91.0,0.0,245.0,2010-08-31,2010-09-24,2011-02-01,2011-05-03,2011-05-03,False,False,15119.7,1515,4134.92,201.0,1,True,True,2011,1,0,91.0,Direct Drop (order-driven)
